"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"RACE","Consumer Cyclical","Ferrari","11.00;10.78;10.59;10.60;0.00","2.46;2.46;2.47;2.47;0.00","9.94;9.67;9.56;9.72;0.00","2.42;2.42;2.42;2.42;0.00","","6","8","1","1","8","3","1","5","Auto Manufacturers","-3.7%","-0.9%","-5.8%","7.7%","-9.4%","-33.0%","-39.8%","-50.0%","-40.8%","3.9%","559.0%"
"Summary"," "," "," "," "," "," "," ","7","7","3","3","9","4","2","3"," ","-7.0%","-0.9%","-2.6%","3.5%","-10.3%","-12.2%","-4.0%","19.7%","-4.6%","7.5%","1560.6%"
"Banks - Diversified (2 Stocks)"
"BK","Financial Services","Bank of New York Mellon","9.15;9.16;9.35;9.35;0.00","2.09;2.10;2.12;2.11;0.00","8.15;8.18;8.31;8.32;0.00","1.81;1.81;1.89;1.90;0.00","","6","2","3","2","7","5","5","1","Banks - Diversified","1.2%","0.1%","-1.2%","-4.5%","3.1%","7.6%","20.1%","81.3%","71.7%","106.7%","-7.1%"
"BMO","Financial Services","Bank of Montreal","15.45;15.46;15.57;16.03;0.00","3.58;3.58;3.58;3.65;0.00","13.62;13.63;13.67;14.13;0.00","3.27;3.28;3.28;3.42;0.00","","6","6","6","4","7","6","5","4","Banks - Diversified","12.0%","0.0%","0.8%","3.1%","12.9%","10.2%","32.1%","32.8%","-3.0%","17.6%","-23.6%"
"Summary"," "," "," "," "," "," "," ","6","4","5","3","7","6","5","3"," ","6.6%","0.0%","-0.2%","-0.7%","8.0%","8.9%","26.1%","57.1%","34.3%","62.1%","-15.4%"
"Beverages - Non-Alcoholic (1 Stock)"
"PEP","Consumer Defensive","PepsiCo","8.97;8.97;9.01;9.13;0.00","2.28;2.27;2.28;2.27;0.00","8.55;8.56;8.56;8.62;0.00","1.60;1.57;1.57;1.54;0.00","","3","2","3","2","6","5","4","8","Beverages - Non-Alcoholic","13.6%","1.4%","-3.2%","-2.9%","12.5%","6.4%","-10.6%","-30.2%","-71.5%","-48.0%","-182.0%"
"Summary"," "," "," "," "," "," "," ","3","2","3","2","6","5","4","8"," ","13.6%","1.4%","-3.2%","-2.9%","12.5%","6.4%","-10.6%","-30.2%","-71.5%","-48.0%","-182.0%"
"Biotechnology (6 Stocks)"
"ASND","Healthcare","Ascendis Pharma","8.32;8.58;9.94;11.01;0.00","0.66;0.68;0.83;1.00;0.00","3.18;3.34;4.04;4.65;0.00","0.39;0.40;0.45;0.50;0.00","","1","1","3","1","4","1","2","10","Biotechnology","14.4%","2.7%","5.1%","11.1%","18.8%","12.3%","40.0%","29.5%","38.7%","-24.2%","954.2%"
"ALNY","Healthcare","Alnylam Pharmaceuticals","17.78;17.78;17.85;15.92;0.00","2.69;2.69;2.79;2.63;0.00","11.18;11.18;10.59;9.56;0.00","2.20;2.20;2.34;2.34;0.00","","1","5","1","1","3","1","1","8","Biotechnology","-17.8%","1.4%","-1.7%","0.5%","-28.4%","-33.6%","10.4%","79.0%","-12.6%","35.6%","143.9%"
"PRAX","Healthcare","Praxis Precision Medicine","-7.85;-6.55;-5.68;-4.83;0.00","-3.49;-3.49;-3.47;-3.71;0.00","-12.70;-12.63;-12.54;-12.81;0.00","-3.39;-3.39;-3.37;-3.55;0.00","","2","8","8","5","9","2","6","1","Biotechnology","6.8%","1.2%","-5.8%","-0.1%","26.7%","557.7%","700.4%","398.2%","1690.2%","-131.2%","- "
"REGN","Healthcare","Regeneron Pharmaceuticals","45.10;47.24;46.43;46.91;0.00","11.45;11.67;10.64;10.67;0.00","43.28;44.32;44.29;44.69;0.00","10.41;10.48;9.29;9.16;0.00","","1","3","1","1","2","1","1","4","Biotechnology","0.1%","0.7%","-0.8%","-0.4%","7.5%","28.3%","-9.4%","-56.6%","-75.2%","-22.2%","-208.5%"
